,GDP,Gross primary education enrollment (%),Gross tertiary education enrollment (%),Infant mortality,Largest city,Life expectancy,Maternal mortality ratio,Minimum wage,Official language,Out of pocket health expenditure,Physicians per thousand,Population,Population: Labor force participation (%),Tax revenue (%),Total tax rate,Unemployment rate,Urban_population,country,latitude,longitude,Continent
96,3070518100.0,85.1,11.9,53.5,Monrovia,63.7,661.0,0.17,English,19.6,0.04,4937374.0,76.3,12.9,46.2,2.81,"2,548,426",Liberia,6.428055,-9.429499,Asia
97,52076250948.0,109.0,60.5,10.2,,72.7,72.0,1.88,Arabic,36.7,2.09,6777452.0,49.7,,32.6,18.56,"5,448,597",Libya,26.3351,17.228331,Asia
98,6552858739.0,104.7,35.6,,Schaan,83.0,,,German,,,38019.0,,,21.6,,"5,464",Liechtenstein,47.1410392,9.520935,Europa
99,54219315600.0,103.9,72.4,3.3,Vilnius,75.7,8.0,2.41,Lithuanian,32.1,6.35,2786844.0,61.6,16.9,42.6,6.35,"1,891,013",Lithuania,55.169438,23.881275,Europa
100,71104919108.0,102.3,19.2,1.9,Luxembourg City,82.1,5.0,13.05,Luxembourgish,10.6,3.01,645397.0,59.3,26.5,20.4,5.36,"565,488",Luxembourg,49.815273,6.129583,Europa
101,14083906357.0,142.5,5.4,38.2,Antananarivo,66.7,335.0,0.21,French,21.7,0.18,26969307.0,86.1,10.2,38.3,1.76,"10,210,849",Madagascar,-18.766947,46.869107,Africa
102,7666704427.0,142.5,0.8,35.3,Lilongwe,63.8,349.0,0.12,English,11.0,0.04,18628747.0,76.7,17.3,34.5,5.65,"3,199,301",Malawi,-13.254308,34.301525,Africa
103,364701517788.0,105.3,45.1,6.7,Johor Bahru,76.0,29.0,0.93,Malaysian language,36.7,1.51,32447385.0,64.3,12.0,38.7,3.32,"24,475,766",Malaysia,4.210484,101.975766,Asia
104,5729248472.0,97.1,31.2,7.4,Mal�,78.6,53.0,,Divehi,16.4,4.56,530953.0,69.8,19.5,30.2,6.14,"213,645",Maldives,3.202778,73.22068,Asia
105,17510141171.0,75.6,4.5,62.0,Bamako,58.9,562.0,0.23,French,46.3,0.13,19658031.0,70.8,11.6,54.5,7.22,"8,479,688",Mali,17.570692,-3.996166,Asia
106,14786156563.0,105.0,54.3,6.1,Birkirkara,82.3,6.0,5.07,Maltese,37.1,2.86,502653.0,56.5,26.2,44.0,3.47,"475,902",Malta,35.937496,14.375416,Europa
107,221278000.0,84.7,23.7,27.4,Majuro,65.2,,2.0,Marshallese,10.0,0.42,58791.0,,17.8,65.9,,"45,514",Marshall Islands,7.131474,171.184478,Asia
108,7593752450.0,99.9,5.0,51.5,Nouakchott,64.7,766.0,0.53,Arabic,48.2,0.19,4525696.0,45.9,,67.0,9.55,"2,466,821",Mauritania,21.00789,-10.940835,Asia
109,14180444557.0,101.1,40.6,13.6,Port Louis,74.4,61.0,0.38,French,50.7,2.53,1265711.0,58.3,19.1,22.2,6.67,"515,980",Mauritius,-20.348404,57.552152,Oceania
